               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.028653,            0.015183,           0.0044196,             0.90331,             0.82774,             0.88655,             0.59897,            0.033152,           0.0092983,           0.0043129,            0.006304,            0.006304,            0.006304
                  58,            0.028202,            0.014951,           0.0040086,             0.93323,             0.85494,             0.91385,             0.63202,            0.031699,           0.0090988,           0.0031613,            0.006238,            0.006238,            0.006238
                  59,            0.027966,             0.01488,           0.0042415,             0.92248,             0.83615,             0.90042,             0.61891,            0.032284,            0.009113,           0.0036258,            0.006172,            0.006172,            0.006172
                  60,            0.027462,            0.014588,           0.0039339,             0.92703,             0.84749,             0.91508,             0.63258,            0.031729,           0.0089789,           0.0030845,            0.006106,            0.006106,            0.006106
                  61,            0.027802,             0.01483,           0.0039772,             0.92081,             0.86326,              0.9181,             0.64153,            0.031054,           0.0087959,           0.0033765,             0.00604,             0.00604,             0.00604
                  62,            0.027441,            0.014703,           0.0038664,              0.9305,             0.85274,             0.91215,              0.6387,            0.031325,           0.0090497,           0.0037965,            0.005974,            0.005974,            0.005974
                  63,            0.027351,            0.014455,           0.0037082,             0.93957,             0.88241,             0.92591,             0.65045,            0.030469,           0.0086911,            0.002755,            0.005908,            0.005908,            0.005908
                  64,            0.027069,            0.014595,           0.0038438,             0.93722,              0.8743,             0.92532,             0.65081,            0.030521,           0.0087818,            0.002679,            0.005842,            0.005842,            0.005842
                  65,            0.026915,            0.014611,           0.0036918,             0.93298,             0.84615,             0.91383,             0.63819,            0.030825,           0.0088582,           0.0028865,            0.005776,            0.005776,            0.005776
                  66,            0.026706,            0.014576,            0.003807,             0.92489,             0.85963,             0.91763,             0.63852,            0.030839,           0.0087824,           0.0028123,             0.00571,             0.00571,             0.00571
                  67,            0.026668,            0.014432,           0.0035525,             0.94834,             0.86294,             0.92597,             0.65582,            0.030437,            0.008578,           0.0023124,            0.005644,            0.005644,            0.005644
                  68,            0.026436,            0.014293,           0.0035836,             0.93331,             0.86743,             0.92618,             0.64877,            0.030139,           0.0086913,           0.0024822,            0.005578,            0.005578,            0.005578
                  69,            0.026228,            0.014395,           0.0036077,             0.94537,             0.85905,              0.9256,             0.65214,            0.030183,           0.0085124,           0.0027845,            0.005512,            0.005512,            0.005512
                  70,            0.026378,            0.014127,           0.0035774,             0.93711,             0.86978,             0.92522,             0.65443,            0.030154,           0.0087221,           0.0028963,            0.005446,            0.005446,            0.005446
                  71,            0.025928,            0.013953,           0.0035905,              0.9368,             0.86715,             0.92364,             0.65892,            0.029531,           0.0088068,           0.0026665,             0.00538,             0.00538,             0.00538
                  72,            0.025837,            0.013935,           0.0035618,             0.93204,             0.86702,             0.92519,             0.65617,            0.029768,           0.0086712,           0.0026807,            0.005314,            0.005314,            0.005314
                  73,            0.025798,            0.014096,           0.0033811,              0.9397,             0.86817,             0.92296,              0.6564,            0.029867,           0.0087054,            0.002825,            0.005248,            0.005248,            0.005248
                  74,            0.025518,            0.013873,           0.0031475,             0.94393,             0.87933,             0.92827,             0.66127,            0.029547,           0.0085573,           0.0025699,            0.005182,            0.005182,            0.005182
                  75,            0.025787,            0.013936,           0.0032543,             0.95178,             0.87137,             0.92922,             0.65981,            0.029021,            0.008495,           0.0027988,            0.005116,            0.005116,            0.005116
                  76,            0.025295,            0.014019,           0.0033143,             0.94911,             0.88145,             0.93066,             0.66812,            0.029383,           0.0086582,           0.0020914,             0.00505,             0.00505,             0.00505
                  77,            0.024866,            0.013524,           0.0031695,             0.94388,             0.87004,             0.92496,             0.66323,            0.029229,           0.0085548,           0.0025425,            0.004984,            0.004984,            0.004984
                  78,            0.024868,            0.013737,            0.003107,             0.94237,             0.85628,               0.921,              0.6621,            0.029297,           0.0086648,           0.0025845,            0.004918,            0.004918,            0.004918
                  79,               0.025,            0.013497,           0.0030004,             0.94697,              0.8807,             0.93405,             0.67163,            0.029018,           0.0084289,           0.0021956,            0.004852,            0.004852,            0.004852
                  80,            0.024862,            0.013511,           0.0031013,             0.93754,             0.87184,             0.93067,             0.66529,             0.02911,           0.0086568,           0.0024856,            0.004786,            0.004786,            0.004786
                  81,            0.024632,             0.01342,           0.0032506,             0.94166,              0.8708,             0.92789,             0.66731,            0.029352,           0.0086627,           0.0027118,             0.00472,             0.00472,             0.00472
                  82,            0.024428,            0.013335,            0.003021,             0.94871,             0.88097,              0.9338,             0.67524,            0.028704,           0.0084318,              0.0025,            0.004654,            0.004654,            0.004654
                  83,            0.024372,            0.013461,           0.0030973,             0.94064,             0.86184,             0.91907,              0.6601,             0.02903,           0.0087828,           0.0030577,            0.004588,            0.004588,            0.004588
                  84,            0.024204,            0.013197,           0.0027982,             0.93915,             0.87567,             0.93538,             0.67215,            0.028506,           0.0085234,           0.0024776,            0.004522,            0.004522,            0.004522
                  85,            0.023754,            0.013132,           0.0030192,             0.94478,             0.88001,             0.92873,             0.67484,            0.028525,           0.0087438,            0.002681,            0.004456,            0.004456,            0.004456
                  86,            0.023795,            0.013027,           0.0029573,             0.95004,             0.88059,              0.9381,             0.67812,            0.028153,           0.0083896,           0.0020795,             0.00439,             0.00439,             0.00439
                  87,            0.023799,            0.013008,           0.0028522,             0.95161,             0.88036,             0.93317,             0.67469,            0.028543,            0.008571,           0.0021816,            0.004324,            0.004324,            0.004324
                  88,             0.02362,            0.012955,            0.002863,             0.94448,             0.87456,             0.93487,             0.67959,            0.027945,           0.0085183,           0.0024926,            0.004258,            0.004258,            0.004258
                  89,            0.023586,            0.013147,           0.0029298,             0.94802,             0.88331,             0.93815,             0.68321,            0.027659,            0.008386,           0.0022835,            0.004192,            0.004192,            0.004192
                  90,            0.023286,            0.012799,           0.0026488,             0.95739,             0.88544,             0.94299,               0.688,            0.027646,           0.0083212,           0.0021814,            0.004126,            0.004126,            0.004126
                  91,            0.022941,             0.01268,            0.002631,             0.94979,             0.87188,             0.93725,               0.683,            0.027783,           0.0085295,           0.0021563,             0.00406,             0.00406,             0.00406
                  92,            0.023311,            0.012873,            0.002819,             0.95095,             0.87939,             0.93774,             0.68585,            0.027719,           0.0084389,           0.0024971,            0.003994,            0.003994,            0.003994
                  93,            0.022955,            0.012877,           0.0026384,             0.95016,             0.88754,             0.93623,             0.68649,            0.027515,           0.0083952,           0.0024048,            0.003928,            0.003928,            0.003928
                  94,            0.022963,            0.012896,           0.0025497,             0.95168,             0.88327,             0.93694,             0.68783,             0.02737,           0.0083646,           0.0022476,            0.003862,            0.003862,            0.003862
                  95,             0.02276,            0.012478,           0.0027163,             0.95801,             0.87863,             0.93437,              0.6862,             0.02743,           0.0085955,           0.0023099,            0.003796,            0.003796,            0.003796
                  96,            0.022521,            0.012567,           0.0026573,             0.95306,             0.88752,             0.93681,             0.68775,            0.027341,           0.0083719,           0.0022423,             0.00373,             0.00373,             0.00373
                  97,            0.022569,            0.012414,           0.0025877,             0.94686,             0.87247,             0.93349,             0.68276,            0.027428,           0.0084957,           0.0024394,            0.003664,            0.003664,            0.003664
                  98,            0.022481,            0.012373,           0.0024299,             0.95077,             0.89379,             0.93995,              0.6865,            0.027218,             0.00831,           0.0022436,            0.003598,            0.003598,            0.003598
                  99,              0.0222,            0.012412,           0.0023056,             0.95474,             0.88446,             0.93898,             0.69116,            0.027009,           0.0083178,           0.0022755,            0.003532,            0.003532,            0.003532
                 100,            0.022154,            0.012619,            0.002275,             0.95846,             0.88553,             0.94104,             0.69289,            0.026766,           0.0083375,           0.0021274,            0.003466,            0.003466,            0.003466
                 101,            0.021806,            0.012064,           0.0023569,             0.95528,             0.89185,             0.94053,             0.69514,            0.026785,           0.0083548,           0.0022429,              0.0034,              0.0034,              0.0034
                 102,            0.021867,            0.012187,           0.0024272,             0.94972,             0.86269,             0.93371,             0.68369,            0.027215,           0.0086278,           0.0023328,            0.003334,            0.003334,            0.003334
                 103,            0.021832,            0.012043,           0.0022704,             0.95582,             0.88915,             0.94052,             0.69376,            0.026719,           0.0083831,           0.0018756,            0.003268,            0.003268,            0.003268
                 104,            0.021526,            0.012313,           0.0024563,             0.94974,             0.88037,             0.93698,             0.69044,            0.026879,           0.0084878,           0.0023043,            0.003202,            0.003202,            0.003202
                 105,             0.02133,            0.011942,           0.0023764,             0.95397,             0.88625,             0.93784,             0.69046,            0.026971,           0.0084789,           0.0023316,            0.003136,            0.003136,            0.003136
                 106,            0.021381,            0.012113,           0.0023247,              0.9582,              0.8729,             0.93684,               0.692,            0.026924,           0.0084681,           0.0025652,             0.00307,             0.00307,             0.00307
                 107,             0.02125,            0.011745,           0.0021932,             0.96082,             0.87796,             0.93812,             0.69528,            0.026774,           0.0085398,           0.0022482,            0.003004,            0.003004,            0.003004
